State,agi_stub,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N05800,A05800,N09600,A09600,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
UT,3,255840,146250,53230,51530,127200,476740,181790,4422230,255840,4486102,218120,3608422,47100,33609,17440,33173,15020,19650,7950,3841,31840,220931,14800,6630,13300,88074,31640,341448,1490,17750,85923,12560,21871,8750,32543,46280,63872,1230,257,90,448,3150,11884,1360,3384,13160,8805,3840,9203,300,497,23040,340559,10890,13777,10360,7340,17440,30696,22630,59485,13940,104666,16980,54095,165470,1074436,163670,114896,150,171,56040,21038,1730,98,2120,716,23800,12686,16600,2559,14330,4726,580,116,26600,35444,241470,667477,79670,257021,72260,235243,76510,119372,24540,19843,128160,93858,150290,131084,22980,17630,224550,553865
UT,4,281300,109840,120040,44940,143490,693750,293230,10220630,281300,10342949,249230,8497464,78360,54751,27630,57174,23970,33759,39270,20823,37610,247297,23800,37862,18790,169936,44780,790734,2590,19360,101269,36820,226382,16380,135183,68370,122319,5240,1182,200,1495,5350,24762,4440,14138,28680,22417,3910,7913,750,2107,79700,1237260,63610,109558,14590,16091,66830,106286,79420,239553,60790,447447,62510,240806,259100,4644392,257820,562776,110,351,131410,114881,4780,436,8370,4183,32020,29875,40480,7121,80800,71650,3730,1002,27060,45709,274890,1106030,72620,140652,62360,121033,79180,158776,23780,19790,190830,447898,208820,500334,40430,53151,237070,655905
UT,5,177720,39790,122920,12250,92380,522860,222330,10952326,177720,11075836,159100,8930222,77130,58858,28050,66221,24410,41643,57430,35272,31160,180259,24310,52745,16370,189552,36950,895606,2720,10880,54368,27840,388172,16770,208719,57970,123510,6630,1571,280,2351,4540,24902,4370,16788,24710,20172,2660,4751,1010,4392,104540,1921287,96670,259525,7190,11671,94770,158907,104390,441437,87680,698740,90120,457849,176460,6286185,176030,846355,230,413,99250,169884,5790,694,9120,4373,21380,24037,13990,2195,77370,135468,5370,1656,21220,35876,175280,1041475,210,6,150,4,25720,45198,14800,12697,150540,676471,157860,720955,38140,72975,136950,386874
UT,6,112600,12770,95090,3790,58500,361640,153990,9727436,112600,9826161,102130,7826644,61400,54391,24220,63649,21450,42134,45680,29962,21220,145498,21410,67987,12630,203402,26980,782836,2090,5200,26184,18880,355754,14180,244320,38420,98725,5090,1275,290,2864,3460,21151,3350,14701,14700,13667,1270,2090,890,3245,86440,2056924,82920,320480,3200,6565,80590,151302,86360,488643,73700,649496,77520,509893,112370,6192648,112110,874368,350,733,64570,139685,5330,879,7050,3698,14380,17202,0,0,52070,114089,4540,1677,14690,28191,111290,971793,0,0,0,0,4540,6908,10130,9056,107530,734688,108980,770818,28140,70628,82350,264113
UT,7,120200,8240,108880,2400,67060,396510,167510,15781675,120200,15978563,110440,12201418,81440,117535,38990,157650,35220,110180,50980,42363,25190,317468,36690,263153,15330,402124,30440,1115584,2390,3530,19580,18540,402575,24790,847630,46570,196887,6630,1712,1020,17771,6280,47034,4480,24666,11920,10824,4160,7692,1970,11502,107800,4623845,104500,652953,3010,6956,101860,248025,107730,923603,90990,929160,100000,912721,120050,11120255,119860,1869012,2470,6094,62420,111774,10640,5055,7270,3861,14260,19324,0,0,40140,75302,5510,2441,18470,53193,118730,1953553,0,0,0,0,700,1210,13190,12245,119060,1757239,119390,1824971,43340,206111,72930,305532
UT,8,24980,1710,22710,390,18490,85630,37990,7159185,24980,7295413,22440,4484669,21390,106593,13410,163284,12540,126134,7630,13684,6320,251604,14460,430194,3480,172699,4900,248071,570,270,1708,3470,82709,11740,1237551,10840,136227,550,136,1080,30286,3530,33639,770,6928,0,0,0,0,1260,17231,24270,1207860,23370,319933,850,2290,23040,95476,24260,424217,18760,275891,23050,418992,24950,5622330,24950,1337090,15000,76280,7960,18169,5440,12352,1100,596,0,0,0,0,120,86,970,849,6470,33187,24570,1265552,0,0,0,0,0,0,0,0,24920,1318921,24930,1357374,12780,220796,9520,87063
UT,9,4370,330,3930,70,3760,15310,7010,2949517,4370,2999731,3790,1398970,4130,57897,2970,111134,2830,91080,1120,5117,1080,79275,3300,375823,580,50454,590,34663,120,20,111,580,14516,2960,811688,2310,50214,30,6,280,10953,900,9821,160,1531,0,0,0,0,420,13024,4310,420744,4170,128834,130,401,4080,27223,4310,161745,2960,55980,4120,162886,4360,2468419,4370,695293,3040,34663,1930,13406,1510,9987,120,73,0,0,0,0,0,0,110,281,1420,10904,4300,632398,0,0,0,0,0,0,0,0,4350,681887,4360,693664,2340,121922,1180,27078
UT,10,2480,180,2200,40,2280,8470,3790,8306281,2480,8391771,2100,1832591,2420,186210,1960,422709,1880,362600,950,16633,610,76286,2180,3426908,330,80094,340,33062,80,0,22,350,9314,2030,2100272,1490,85490,10,2,160,7380,570,6829,80,836,0,0,0,0,430,54967,2450,1013288,2360,301637,90,377,2360,32571,2450,335787,1390,29715,2370,539831,2480,7260723,2480,1829307,760,29669,1460,48833,1190,38173,30,17,0,0,0,0,0,0,60,375,900,12586,2430,1716252,0,0,0,0,0,0,0,0,2470,1780473,2470,1795846,1170,260756,540,52629
VT,0,321250,165620,122920,27690,157310,569420,148240,17263683,320280,17632542,264580,11918205,128240,200158,77830,604129,71440,471033,55700,50300,58080,768337,60430,1161665,35920,505491,59660,1102437,4420,26120,117530,42790,529380,21180,722202,103410,368858,9720,2448,2860,43764,14290,78698,10210,45935,40660,40006,3820,9801,2520,26884,92660,2151373,84420,504519,6900,5210,86590,449203,92360,974852,72810,566007,67520,269093,247580,11909285,244110,2072255,7480,70168,96320,120074,21670,19227,13560,7044,18040,21404,17710,3312,44240,55850,7680,5132,46730,112955,298970,2491282,47360,85885,38430,73383,25710,30377,15420,15000,225640,1952185,243250,2078747,54330,223804,242540,557400
VT,1,6220,3890,1890,250,4190,8900,1340,-297934,5240,-290051,1740,36276,2530,9073,1950,8739,1780,6149,200,548,2240,-15816,2480,14714,540,5243,640,6053,560,130,636,10,34,1010,-60378,1810,7883,30,6,10,100,460,2163,40,154,380,353,300,1116,170,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,66,10,66,20,44,0,0,0,0,0,0,0,0,0,0,0,0,900,1374,2600,7949,790,795,540,552,250,350,220,217,0,22,1010,1705,570,754,2130,6218
VT,2,55220,46320,5110,3170,21810,49990,8420,272364,55220,283734,39380,199341,13190,7107,7710,11019,6840,6923,720,353,7410,28685,5700,-580,3570,11868,6350,26424,440,2110,6569,130,539,930,-1907,9100,11369,70,15,20,96,1130,2888,180,585,1760,1427,850,2734,100,269,2180,32122,640,976,1150,371,1700,6063,2090,8408,1170,7360,1100,961,7050,11913,6410,1175,10,8,460,54,320,13,0,0,70,10,20,5,0,0,0,0,6390,4263,44620,34595,15330,13664,12680,11765,3440,1994,1380,1215,6280,1121,13020,5662,4870,1946,41100,30437
